1 	A Brave Refrain 	James-Whitcomb-Riley 	kids 	139 	126 	there are breathtaking descriptions of kids by James-Whitcomb-Riley 	1505 	images/book/kids/7.jpeg 	
2 	A Bruised Reed Shall He Not Break 	Christina-Georgina-Rossetti 	fiction 	125 	108 	this book talks about fiction by Christina-Georgina-Rossetti 	1681 	images/book/fiction/9.jpeg 	
3 	A Death in the Desert 	Willa-Cather 	health 	186 	158 	this is a masterpiece on health by Willa-Cather 	1628 	images/book/health/132.jpeg 	
4 	A man was drawing near to me 	Thomas-Hardy 	kids 	158 	111 	this is a masterpiece on kids by Thomas-Hardy 	1348 	images/book/kids/96.jpeg 	
5 	A Noted Traveler 	James-Whitcomb-Riley 	kids 	133 	108 	this book talks about kids by James-Whitcomb-Riley 	1135 	images/book/kids/8.jpeg 	
6 	A Poor Stick 	Arthur-Morrison 	science 	116 	92 	this is a masterpiece on science by Arthur-Morrison 	1791 	images/book/science/41.jpeg 	
7 	A Rough Shed 	Henry-Lawson 	kids 	113 	83 	this is a masterpiece on kids by Henry-Lawson 	1703 	images/book/kids/17.jpeg 	
8 	According To Gunter 	Falconbridge 	science 	189 	144 	this is a good book on science by Falconbridge 	1009 	images/book/science/36.jpeg 	
9 	According to the Mighty Working 	Thomas-Hardy 	fiction 	110 	66 	this is a good book on fiction by Thomas-Hardy 	1696 	images/book/fiction/63.jpeg 	
10 	Ad Amicos 	Oliver-Wendell-Holmes 	health 	100 	100 	this is a masterpiece on health by Oliver-Wendell-Holmes 	1755 	images/book/health/112.jpeg 	
11 	After Jenkins 	Mark-Twain 	health 	184 	167 	this book talks about health by Mark-Twain 	1004 	images/book/health/63.jpeg 	
12 	Ah, Bleak And Barren Was The Moor. 	William-Makepeace-Thackeray 	fiction 	145 	123 	this book talks about fiction by William-Makepeace-Thackeray 	1513 	images/book/fiction/6.jpeg 	
13 	All The Day Idle 	T.-S.-Arthur 	kids 	100 	87 	this book talks about kids by T.-S.-Arthur 	1074 	images/book/kids/52.jpeg 	
14 	All The Rage 	Hattie-Howard 	biography 	167 	142 	this is a masterpiece on biography by Hattie-Howard 	1926 	images/book/biography/24.jpeg 	
15 	America For Me 	Henry-Van Dyke 	science 	170 	149 	this book talks about science by Henry-Van Dyke 	1656 	images/book/science/8.jpeg 	
16 	And He Said, Fight On 	E. Pauline-Johnson 	kids 	133 	113 	this book talks about kids by E. Pauline-Johnson 	1532 	images/book/kids/36.jpeg 	
17 	And Oh--That The Man I Am Might Cease To Be-- 	D.-H.-Lawrence 	fiction 	147 	97 	there are breathtaking descriptions of fiction by D.-H.-Lawrence 	1581 	images/book/fiction/14.jpeg 	
18 	And there was a great calm 	Thomas-Hardy 	health 	171 	124 	this book talks about health by Thomas-Hardy 	1524 	images/book/health/112.jpeg 	
19 	And These--Are These Indeed The End 	William-Watson 	fiction 	151 	119 	this is a masterpiece on fiction by William-Watson 	1394 	images/book/fiction/16.jpeg 	
20 	Angutivaun Taina 	Rudyard-Kipling 	science 	131 	108 	this is a good book on science by Rudyard-Kipling 	1640 	images/book/science/52.jpeg 	
21 	As twere to-night 	Thomas-Hardy 	biography 	189 	140 	this is a masterpiece on biography by Thomas-Hardy 	1681 	images/book/biography/16.jpeg 	
22 	As The Bell Clinks 	Rudyard-Kipling 	health 	180 	147 	this is a masterpiece on health by Rudyard-Kipling 	1609 	images/book/health/89.jpeg 	
23 	As weary pilgrim now at rest 	Anne-Bradstreet 	fiction 	182 	182 	this book talks about fiction by Anne-Bradstreet 	1604 	images/book/fiction/65.jpeg 	
24 	Au Revoir, A Dramatic Vignette 	Austin-Dobson 	biography 	188 	163 	this is a good book on biography by Austin-Dobson 	1775 	images/book/biography/20.jpeg 	
25 	The Avenue Of The Allies 	Alfred-Noyes 	kids 	146 	119 	this is a masterpiece on kids by Alfred-Noyes 	1841 	images/book/kids/45.jpeg 	
26 	A Clergyman (1918) 	Max-Beerbohm 	science 	135 	94 	this book talks about science by Max-Beerbohm 	1201 	images/book/science/32.jpeg 	
27 	A Long-Bow Story 	Andrew-Lang 	science 	173 	147 	this book talks about science by Andrew-Lang 	1199 	images/book/science/54.jpeg 	
28 	A Dog of Flanders 	Ouida 	biography 	179 	154 	this is a good book on biography by Ouida 	1404 	images/book/biography/13.jpeg 	
29 	A Good-For-Nothing 	Hjalmar-Hjorth-Boyesen 	kids 	165 	151 	there are breathtaking descriptions of kids by Hjalmar-Hjorth-Boyesen 	1772 	images/book/kids/29.jpeg 	
30 	A Knight Of Dannebrog 	Hjalmar-Hjorth-Boyesen 	fiction 	156 	144 	this is a good book on fiction by Hjalmar-Hjorth-Boyesen 	1676 	images/book/fiction/42.jpeg 	
31 	A Leaf In The Storm 	Ouida 	biography 	184 	139 	there are breathtaking descriptions of biography by Ouida 	1778 	images/book/biography/12.jpeg 	
32 	A Lost Recruit 	Jane-Barlow 	fiction 	147 	137 	there are breathtaking descriptions of fiction by Jane-Barlow 	1481 	images/book/fiction/53.jpeg 	
33 	A New Christmas Hymn 	Hannah-More 	biography 	102 	62 	this is a good book on biography by Hannah-More 	1077 	images/book/biography/26.jpeg 	
34 	A New End For The Kings Threshold 	William-Butler-Yeats 	kids 	161 	112 	this is a masterpiece on kids by William-Butler-Yeats 	1473 	images/book/kids/3.jpeg 	
35 	A Scientific Vagabond 	Hjalmar-Hjorth-Boyesen 	science 	200 	192 	this is a good book on science by Hjalmar-Hjorth-Boyesen 	1728 	images/book/science/3.jpeg 	
36 	A Song Of The Road 	Robert-Louis-Stevenson 	science 	123 	86 	this is a good book on science by Robert-Louis-Stevenson 	1861 	images/book/science/3.jpeg 	
37 	A Stoic 	John-Galsworthy 	health 	144 	98 	there are breathtaking descriptions of health by John-Galsworthy 	1292 	images/book/health/179.jpeg 	
38 	A Tale Of A Crusader 	Charles-E.-Waite 	fiction 	109 	107 	there are breathtaking descriptions of fiction by Charles-E.-Waite 	1145 	images/book/fiction/77.jpeg 	
39 	A Tough Tussle 	Ambrose-Bierce 	kids 	187 	158 	this is a masterpiece on kids by Ambrose-Bierce 	1775 	images/book/kids/75.jpeg 	
40 	A Old Played-Out Song 	James-Whitcomb-Riley 	science 	104 	84 	there are breathtaking descriptions of science by James-Whitcomb-Riley 	1614 	images/book/science/19.jpeg 	
41 	A, B, And C - The Human Element In Mathematics 	Stephen-Leacock 	fiction 	190 	178 	this is a masterpiece on fiction by Stephen-Leacock 	1053 	images/book/fiction/24.jpeg 	
