0	W	jeans	L	1927	1697	The best of Jilly and Johny	1432	images/clothing/W/jeans/8.jpeg	1248	
1	M	footwear	L	559	393	The best of Levis	1118	images/clothing/M/footwear/36.jpeg	5465	
2	M	footwear	XL	940	746	The best of Jilly and Johny	1747	images/clothing/M/footwear/9.jpeg	3837	
3	M	footwear	L	4837	4676	Compelling fabric quality, very nice creation by Jilly and Johny	1258	images/clothing/M/footwear/35.jpeg	6397	
4	M	jeans	XL	755	606	Compelling fabric quality, very nice creation by Levis	1432	images/clothing/M/jeans/174.jpeg	2362	
5	W	footwear	XXL	1022	811	The best of Calvin Klein	1155	images/clothing/W/footwear/13.jpeg	4189	
6	W	footwear	S	2937	2717	The best of Nike	1100	images/clothing/W/footwear/7.jpeg	5898	
7	M	jeans	M	2684	2569	Fine product by Lee	1401	images/clothing/M/jeans/17.jpeg	8843	
8	M	footwear	M	1812	1688	Fine product by Nike	1701	images/clothing/M/footwear/10.jpeg	3147	
9	W	footwear	L	1713	1444	The best of Nike	1726	images/clothing/W/footwear/7.jpeg	1973	
10	K	trousers	XL	1389	1103	Fine product by Lee	1794	images/clothing/K/trousers/49.jpeg	7243	
11	W	jeans	XL	2005	1835	The best of Calvin Klein	1898	images/clothing/W/jeans/12.jpeg	8204	
12	K	trousers	L	3887	3641	Fine product by Lee	1633	images/clothing/K/trousers/259.jpeg	2451	
13	W	saree	S	2335	2136	Compelling fabric quality, very nice creation by Nike	1664	images/clothing/W/saree/34.jpeg	9749	
14	W	saree	XL	3967	3709	Fine product by Levis	1270	images/clothing/W/saree/34.jpeg	6557	
15	W	jeans	XXL	4037	3909	The best of Nike	1394	images/clothing/W/jeans/11.jpeg	9235	
16	K	tshirt	L	1543	1300	Compelling fabric quality, very nice creation by Jilly and Johny	1520	images/clothing/K/tshirt/188.jpeg	5480	
17	W	jeans	M	1950	1816	Fine product by Jilly and Johny	1532	images/clothing/W/jeans/16.jpeg	5165	
18	M	footwear	L	1849	1665	Compelling fabric quality, very nice creation by Levis	1171	images/clothing/M/footwear/23.jpeg	9300	
19	W	jeans	L	3879	3698	The best of Levis	1663	images/clothing/W/jeans/30.jpeg	6539	
20	K	trousers	L	2720	2502	The best of Lee	1342	images/clothing/K/trousers/232.jpeg	2765	
21	M	shirt	XL	582	468	Fine product by Jilly and Johny	1284	images/clothing/M/shirt/36.jpeg	8992	
22	W	jeans	Umang	1982	1697	Fine product by Levis	1002	images/clothing/W/jeans/35.jpeg	3843	
23	K	trousers	S	2833	2590	Compelling fabric quality, very nice creation by Calvin Klein	1836	images/clothing/K/trousers/267.jpeg	4445	
24	M	footwear	S	3521	3221	Fine product by Nike	1130	images/clothing/M/footwear/3.jpeg	7480	
25	K	trousers	S	1204	990	The best of Calvin Klein	1844	images/clothing/K/trousers/198.jpeg	1245	
26	K	trousers	L	3635	3415	The best of Levis	1730	images/clothing/K/trousers/3.jpeg	1308	
27	W	footwear	M	3259	2985	The best of Nike	1689	images/clothing/W/footwear/25.jpeg	6776	
28	K	footwear	L	2339	2051	Fine product by Calvin Klein	1616	images/clothing/K/footwear/207.jpeg	3546	
29	K	trousers	M	3878	3728	Compelling fabric quality, very nice creation by Lee	1292	images/clothing/K/trousers/1.jpeg	2286	
30	K	footwear	L	1198	928	The best of Levis	1075	images/clothing/K/footwear/116.jpeg	3601	
31	W	saree	L	602	484	Fine product by Lee	1676	images/clothing/W/saree/30.jpeg	4994	
32	K	footwear	L	1072	940	Compelling fabric quality, very nice creation by Jilly and Johny	1281	images/clothing/K/footwear/58.jpeg	3073	
33	M	shirt	L	3082	2876	The best of Levis	1486	images/clothing/M/shirt/67.jpeg	8707	
34	W	saree	XL	3025	2747	Fine product by Nike	1026	images/clothing/W/saree/32.jpeg	3352	
35	K	tshirt	M	2138	2027	The best of Lee	1538	images/clothing/K/tshirt/258.jpeg	1519	
36	M	shirt	M	521	275	The best of Nike	1568	images/clothing/M/shirt/153.jpeg	5158	
37	W	jeans	XXL	2488	2345	Fine product by Calvin Klein	1564	images/clothing/W/jeans/33.jpeg	6161	
38	M	jeans	M	4046	3819	Fine product by Jilly and Johny	1687	images/clothing/M/jeans/24.jpeg	7538	
39	W	saree	XL	4944	4699	Fine product by Levis	1849	images/clothing/W/saree/24.jpeg	5113	
40	M	jeans	S	1021	749	Compelling fabric quality, very nice creation by Nike	1176	images/clothing/M/jeans/87.jpeg	9096	
41	M	shirt	L	1796	1552	Fine product by Jilly and Johny	1907	images/clothing/M/shirt/119.jpeg	2221	
42	K	footwear	L	4770	4510	The best of Calvin Klein	1579	images/clothing/K/footwear/176.jpeg	7324	
43	K	footwear	L	1803	1640	Fine product by Lee	1744	images/clothing/K/footwear/33.jpeg	9623	
44	W	footwear	XL	1324	1190	Fine product by Jilly and Johny	1624	images/clothing/W/footwear/6.jpeg	3000	
45	W	jeans	Umang	3726	3499	Compelling fabric quality, very nice creation by Jilly and Johny	1873	images/clothing/W/jeans/16.jpeg	6786	
46	M	footwear	M	3444	3328	Compelling fabric quality, very nice creation by Nike	1544	images/clothing/M/footwear/20.jpeg	3230	
47	K	trousers	Umang	3939	3710	Compelling fabric quality, very nice creation by Levis	1685	images/clothing/K/trousers/13.jpeg	1722	
48	W	jeans	L	3442	3209	Compelling fabric quality, very nice creation by Calvin Klein	1656	images/clothing/W/jeans/27.jpeg	6112	
49	M	jeans	Umang	1541	1434	Compelling fabric quality, very nice creation by Nike	1331	images/clothing/M/jeans/40.jpeg	2280	
50	M	jeans	XL	661	465	Compelling fabric quality, very nice creation by Lee	1574	images/clothing/M/jeans/95.jpeg	5227	
51	W	jeans	XL	3869	3693	Compelling fabric quality, very nice creation by Jilly and Johny	1553	images/clothing/W/jeans/1.jpeg	4552	
52	W	saree	S	1444	1246	The best of Levis	1805	images/clothing/W/saree/32.jpeg	6317	
53	W	saree	S	4914	4668	The best of Nike	1235	images/clothing/W/saree/54.jpeg	4507	
54	W	jeans	M	1020	890	Compelling fabric quality, very nice creation by Calvin Klein	1063	images/clothing/W/jeans/33.jpeg	9812	
55	M	footwear	M	4626	4403	Compelling fabric quality, very nice creation by Jilly and Johny	1215	images/clothing/M/footwear/27.jpeg	8133	
56	K	tshirt	S	3964	3812	The best of Lee	1493	images/clothing/K/tshirt/165.jpeg	5691	
57	K	tshirt	XL	1760	1616	The best of Jilly and Johny	1377	images/clothing/K/tshirt/227.jpeg	6665	
58	M	jeans	XL	3656	3502	Fine product by Lee	1436	images/clothing/M/jeans/103.jpeg	3100	
59	W	jeans	S	1334	1061	The best of Nike	1331	images/clothing/W/jeans/1.jpeg	5956	
60	W	saree	S	4372	4137	Compelling fabric quality, very nice creation by Nike	1041	images/clothing/W/saree/0.jpeg	3557	
61	M	shirt	XL	2759	2521	Compelling fabric quality, very nice creation by Nike	1147	images/clothing/M/shirt/152.jpeg	4532	
62	K	trousers	S	1929	1801	The best of Jilly and Johny	1267	images/clothing/K/trousers/192.jpeg	5267	
63	W	saree	M	3603	3306	Compelling fabric quality, very nice creation by Calvin Klein	1881	images/clothing/W/saree/36.jpeg	6502	
64	K	trousers	M	3977	3745	Fine product by Levis	1525	images/clothing/K/trousers/265.jpeg	3548	
65	W	footwear	S	1741	1476	Compelling fabric quality, very nice creation by Nike	1146	images/clothing/W/footwear/18.jpeg	3895	
66	K	tshirt	L	4152	3881	Compelling fabric quality, very nice creation by Calvin Klein	1365	images/clothing/K/tshirt/197.jpeg	4677	
67	K	tshirt	L	2542	2371	Compelling fabric quality, very nice creation by Nike	1033	images/clothing/K/tshirt/193.jpeg	7870	
68	K	footwear	Umang	4793	4613	The best of Calvin Klein	1240	images/clothing/K/footwear/252.jpeg	1604	
69	W	footwear	S	1854	1632	Compelling fabric quality, very nice creation by Lee	1778	images/clothing/W/footwear/0.jpeg	1784	
70	M	footwear	XL	1336	1115	Compelling fabric quality, very nice creation by Nike	1466	images/clothing/M/footwear/0.jpeg	2686	
71	M	jeans	S	982	783	Compelling fabric quality, very nice creation by Jilly and Johny	1149	images/clothing/M/jeans/142.jpeg	2361	
72	K	footwear	S	2466	2178	Compelling fabric quality, very nice creation by Jilly and Johny	1579	images/clothing/K/footwear/193.jpeg	2076	
73	M	shirt	M	2211	1987	Compelling fabric quality, very nice creation by Nike	1471	images/clothing/M/shirt/3.jpeg	4972	
74	M	shirt	S	3038	2905	Fine product by Calvin Klein	1266	images/clothing/M/shirt/143.jpeg	3030	
75	K	tshirt	M	1928	1824	The best of Nike	1505	images/clothing/K/tshirt/183.jpeg	2234	
76	W	jeans	Umang	535	398	Compelling fabric quality, very nice creation by Jilly and Johny	1194	images/clothing/W/jeans/24.jpeg	7343	
77	K	tshirt	Umang	2961	2781	The best of Jilly and Johny	1718	images/clothing/K/tshirt/64.jpeg	7550	
78	K	footwear	L	4657	4532	Compelling fabric quality, very nice creation by Jilly and Johny	1884	images/clothing/K/footwear/184.jpeg	6570	
79	K	tshirt	M	930	706	Compelling fabric quality, very nice creation by Nike	1591	images/clothing/K/tshirt/111.jpeg	5486	
80	W	jeans	XL	2464	2326	Fine product by Nike	1707	images/clothing/W/jeans/2.jpeg	5482	
81	M	shirt	S	1612	1384	The best of Levis	1574	images/clothing/M/shirt/171.jpeg	5275	
82	K	tshirt	XXL	1698	1451	Fine product by Lee	1277	images/clothing/K/tshirt/198.jpeg	6359	
83	W	footwear	Umang	2840	2678	The best of Calvin Klein	1088	images/clothing/W/footwear/8.jpeg	4387	
84	W	jeans	M	3076	2965	Compelling fabric quality, very nice creation by Levis	1035	images/clothing/W/jeans/34.jpeg	5635	
85	M	shirt	L	3413	3271	Compelling fabric quality, very nice creation by Lee	1770	images/clothing/M/shirt/139.jpeg	9781	
