0	DL7694	Dell	mp3player	4666	4483	Latest presentation of mp3player by Dell	1249	images/electronics/mp3player/14.jpeg	9963	
1	SMNG3299	Samsung	mp3player	3022	2756	Lightweight mp3player by Samsung	1786	images/electronics/mp3player/108.jpeg	6614	
2	DL82	Dell	television	3669	3438	Latest presentation of television by Dell	1589	images/electronics/television/23.jpeg	9182	
3	SNX5964	Sony	earphone	4318	4115	Lightweight earphone by Sony	1914	images/electronics/earphone/11.jpeg	6649	
4	SMNG8833	Samsung	headphone	3145	2988	Lightweight headphone by Samsung	1846	images/electronics/headphone/31.jpeg	8449	
5	SNX7542	Sony	headphone	1322	1029	Latest presentation of headphone by Sony	1519	images/electronics/headphone/1.jpeg	5720	
6	SMNG3743	Samsung	fan	1361	1076	Latest presentation of fan by Samsung	1733	images/electronics/fan/38.jpeg	2370	
7	DL9310	Dell	refrigerator	4471	4207	Latest presentation of refrigerator by Dell	1019	images/electronics/refrigerator/21.jpeg	7454	
8	LTH1023	LogiTech	headphone	3084	2851	Latest presentation of headphone by LogiTech	1134	images/electronics/headphone/17.jpeg	6776	
9	LTH1535	LogiTech	television	4813	4666	Lightweight television by LogiTech	1343	images/electronics/television/21.jpeg	1989	
10	SNX9801	Sony	fan	3298	3196	Latest presentation of fan by Sony	1784	images/electronics/fan/24.jpeg	3679	
11	LTH6719	LogiTech	mp3player	3734	3525	High precision mp3player by LogiTech	1395	images/electronics/mp3player/4.jpeg	3318	
12	IB2072	iBall	mp3player	4560	4392	High precision mp3player by iBall	1227	images/electronics/mp3player/60.jpeg	2642	
13	IB3019	iBall	refrigerator	4431	4286	Lightweight refrigerator by iBall	1313	images/electronics/refrigerator/97.jpeg	4163	
14	SMNG5003	Samsung	headphone	1728	1551	High precision headphone by Samsung	1762	images/electronics/headphone/22.jpeg	1099	
15	SNX4931	Sony	earphone	4998	4849	High precision earphone by Sony	1573	images/electronics/earphone/5.jpeg	1134	
16	SMNG2073	Samsung	mobile	1111	945	Latest presentation of mobile by Samsung	1920	images/electronics/mobile/49.jpeg	1063	
17	SNX7791	Sony	fan	1525	1288	Latest presentation of fan by Sony	1850	images/electronics/fan/37.jpeg	3515	
18	LTH6255	LogiTech	mp3player	665	526	Latest presentation of mp3player by LogiTech	1341	images/electronics/mp3player/2.jpeg	5408	
19	SNX2339	Sony	refrigerator	1640	1361	High precision refrigerator by Sony	1168	images/electronics/refrigerator/21.jpeg	5543	
20	SMNG8279	Samsung	mobile	2896	2604	Lightweight mobile by Samsung	1311	images/electronics/mobile/27.jpeg	1314	
21	SNX9070	Sony	mobile	566	421	High precision mobile by Sony	1770	images/electronics/mobile/44.jpeg	3616	
22	LTH5450	LogiTech	refrigerator	4833	4563	Lightweight refrigerator by LogiTech	1269	images/electronics/refrigerator/76.jpeg	4166	
23	SMNG9316	Samsung	mobile	754	558	Lightweight mobile by Samsung	1950	images/electronics/mobile/17.jpeg	2625	
24	DL3434	Dell	refrigerator	3161	2896	Latest presentation of refrigerator by Dell	1954	images/electronics/refrigerator/87.jpeg	5220	
25	SMNG5191	Samsung	fan	4914	4788	Lightweight fan by Samsung	1909	images/electronics/fan/42.jpeg	5314	
26	SMNG2095	Samsung	fan	1992	1698	High precision fan by Samsung	1389	images/electronics/fan/19.jpeg	6453	
27	SMNG2150	Samsung	mp3player	3772	3585	High precision mp3player by Samsung	1436	images/electronics/mp3player/14.jpeg	9493	
28	DL2792	Dell	fan	867	651	Lightweight fan by Dell	1907	images/electronics/fan/14.jpeg	4169	
29	LTH3863	LogiTech	refrigerator	1413	1188	Latest presentation of refrigerator by LogiTech	1969	images/electronics/refrigerator/94.jpeg	6477	
30	LTH8275	LogiTech	refrigerator	1615	1428	Latest presentation of refrigerator by LogiTech	1215	images/electronics/refrigerator/92.jpeg	5356	
31	SMNG2778	Samsung	fan	1658	1469	High precision fan by Samsung	1000	images/electronics/fan/31.jpeg	4789	
32	SMNG1543	Samsung	fan	1673	1409	High precision fan by Samsung	1384	images/electronics/fan/21.jpeg	5887	
33	SMNG3526	Samsung	headphone	1896	1625	Latest presentation of headphone by Samsung	1904	images/electronics/headphone/29.jpeg	5486	
34	SNX1996	Sony	television	1745	1628	High precision television by Sony	1471	images/electronics/television/26.jpeg	1663	
35	SNX7712	Sony	earphone	3486	3189	Latest presentation of earphone by Sony	1703	images/electronics/earphone/10.jpeg	3961	
36	DL1708	Dell	earphone	2868	2640	Lightweight earphone by Dell	1441	images/electronics/earphone/16.jpeg	2107	
37	DL2774	Dell	refrigerator	1692	1591	Latest presentation of refrigerator by Dell	1473	images/electronics/refrigerator/52.jpeg	7001	
38	DL3454	Dell	television	1820	1524	Lightweight television by Dell	1489	images/electronics/television/12.jpeg	8358	
39	SMNG1686	Samsung	mp3player	3619	3379	Lightweight mp3player by Samsung	1997	images/electronics/mp3player/41.jpeg	6839	
40	SMNG5003	Samsung	mobile	1949	1718	High precision mobile by Samsung	1402	images/electronics/mobile/43.jpeg	3950	
41	SNX1204	Sony	television	4219	4015	Lightweight television by Sony	1497	images/electronics/television/18.jpeg	2549	
42	DL7100	Dell	mp3player	855	605	High precision mp3player by Dell	1167	images/electronics/mp3player/83.jpeg	8505	
43	SNX1875	Sony	fan	4119	3924	Latest presentation of fan by Sony	1237	images/electronics/fan/9.jpeg	3292	
44	SNX5912	Sony	mobile	4086	3820	Lightweight mobile by Sony	1455	images/electronics/mobile/4.jpeg	8359	
45	SMNG4449	Samsung	headphone	2132	1854	Lightweight headphone by Samsung	1237	images/electronics/headphone/34.jpeg	9399	
46	DL8216	Dell	headphone	4734	4497	Lightweight headphone by Dell	1767	images/electronics/headphone/29.jpeg	4064	
47	SNX2160	Sony	television	4517	4322	Lightweight television by Sony	1818	images/electronics/television/18.jpeg	1345	
48	IB3202	iBall	refrigerator	4410	4292	High precision refrigerator by iBall	1043	images/electronics/refrigerator/0.jpeg	2504	
49	DL2477	Dell	headphone	4088	3883	Lightweight headphone by Dell	1257	images/electronics/headphone/7.jpeg	3925	
50	IB2951	iBall	earphone	2543	2401	Latest presentation of earphone by iBall	1115	images/electronics/earphone/15.jpeg	9589	
51	IB3989	iBall	fan	548	365	Latest presentation of fan by iBall	1512	images/electronics/fan/0.jpeg	6659	
52	DL2568	Dell	fan	4400	4241	Lightweight fan by Dell	1077	images/electronics/fan/11.jpeg	8631	
53	SNX1064	Sony	fan	3185	2935	High precision fan by Sony	1195	images/electronics/fan/22.jpeg	7880	
54	IB2136	iBall	earphone	509	240	High precision earphone by iBall	1952	images/electronics/earphone/5.jpeg	1299	
55	SMNG7430	Samsung	earphone	3722	3446	High precision earphone by Samsung	1168	images/electronics/earphone/24.jpeg	5158	
56	LTH7927	LogiTech	earphone	966	845	High precision earphone by LogiTech	1974	images/electronics/earphone/31.jpeg	5053	
57	SNX7993	Sony	earphone	2286	2052	High precision earphone by Sony	1753	images/electronics/earphone/13.jpeg	7302	
58	SMNG3631	Samsung	mp3player	1718	1591	Latest presentation of mp3player by Samsung	1307	images/electronics/mp3player/33.jpeg	8539	
59	LTH9132	LogiTech	mobile	1551	1334	High precision mobile by LogiTech	1447	images/electronics/mobile/5.jpeg	7704	
60	IB963	iBall	earphone	3445	3341	High precision earphone by iBall	1590	images/electronics/earphone/19.jpeg	1560	
61	IB6331	iBall	mobile	2991	2729	Lightweight mobile by iBall	1513	images/electronics/mobile/34.jpeg	5756	
62	SMNG4215	Samsung	fan	2650	2407	Latest presentation of fan by Samsung	1386	images/electronics/fan/13.jpeg	5598	
63	IB8992	iBall	refrigerator	916	714	Lightweight refrigerator by iBall	1734	images/electronics/refrigerator/28.jpeg	3871	
64	SNX8481	Sony	mobile	4089	3925	Lightweight mobile by Sony	1554	images/electronics/mobile/21.jpeg	2851	
65	SMNG1442	Samsung	mp3player	3066	2942	High precision mp3player by Samsung	1708	images/electronics/mp3player/87.jpeg	8098	
66	SMNG8371	Samsung	mobile	4342	4229	Lightweight mobile by Samsung	1162	images/electronics/mobile/12.jpeg	7755	
67	LTH6814	LogiTech	mp3player	2032	1748	Latest presentation of mp3player by LogiTech	1391	images/electronics/mp3player/97.jpeg	5986	
68	LTH1017	LogiTech	earphone	1661	1426	Lightweight earphone by LogiTech	1831	images/electronics/earphone/30.jpeg	2376	
69	SNX7523	Sony	mp3player	2802	2697	High precision mp3player by Sony	1818	images/electronics/mp3player/99.jpeg	9181	
70	SNX1622	Sony	refrigerator	2773	2603	High precision refrigerator by Sony	1354	images/electronics/refrigerator/1.jpeg	6296	
71	IB4319	iBall	mobile	1504	1235	High precision mobile by iBall	1790	images/electronics/mobile/32.jpeg	2014	
72	SNX2842	Sony	refrigerator	4284	4142	High precision refrigerator by Sony	1549	images/electronics/refrigerator/93.jpeg	4077	
73	SNX4743	Sony	mobile	4744	4446	Lightweight mobile by Sony	1852	images/electronics/mobile/0.jpeg	5231	
74	SMNG7715	Samsung	earphone	2654	2458	Lightweight earphone by Samsung	1694	images/electronics/earphone/7.jpeg	3193	
75	SNX2963	Sony	mobile	4634	4413	Lightweight mobile by Sony	1132	images/electronics/mobile/49.jpeg	5425	
76	IB457	iBall	earphone	2390	2255	Latest presentation of earphone by iBall	1806	images/electronics/earphone/1.jpeg	3330	
77	LTH6754	LogiTech	earphone	4191	4080	High precision earphone by LogiTech	1772	images/electronics/earphone/9.jpeg	2219	
78	DL4535	Dell	fan	1939	1823	High precision fan by Dell	1730	images/electronics/fan/20.jpeg	7550	
79	SNX3928	Sony	refrigerator	4231	4094	High precision refrigerator by Sony	1393	images/electronics/refrigerator/51.jpeg	6907	
80	DL9484	Dell	fan	2454	2252	Lightweight fan by Dell	1210	images/electronics/fan/21.jpeg	8351	
81	DL9411	Dell	headphone	2551	2350	Lightweight headphone by Dell	1008	images/electronics/headphone/21.jpeg	5053	
